id,name,phone,priority
B1,Borrower 1,9999900001,1
B2,Borrower 2,9999900002,3
B3,Borrower 3,9999900003,2
B4,Borrower 4,9999900004,3
B5,Borrower 5,9999900005,3
B6,Borrower 6,9999900006,2
B7,Borrower 7,9999900007,2
B8,Borrower 8,9999900008,1
B9,Borrower 9,9999900009,2
B10,Borrower 10,9999900010,3
B11,Borrower 11,9999900011,2
B12,Borrower 12,9999900012,3
B13,Borrower 13,9999900013,3
B14,Borrower 14,9999900014,1
B15,Borrower 15,9999900015,1
B16,Borrower 16,9999900016,3
B17,Borrower 17,9999900017,3
B18,Borrower 18,9999900018,3
B19,Borrower 19,9999900019,2
B20,Borrower 20,9999900020,3
B21,Borrower 21,9999900021,3
B22,Borrower 22,9999900022,2
B23,Borrower 23,9999900023,2
B24,Borrower 24,9999900024,3
B25,Borrower 25,9999900025,3
B26,Borrower 26,9999900026,1
B27,Borrower 27,9999900027,1
B28,Borrower 28,9999900028,2
B29,Borrower 29,9999900029,3
B30,Borrower 30,9999900030,2
B31,Borrower 31,9999900031,3
B32,Borrower 32,9999900032,2
B33,Borrower 33,9999900033,3
B34,Borrower 34,9999900034,2
B35,Borrower 35,9999900035,2
B36,Borrower 36,9999900036,3
B37,Borrower 37,9999900037,3
B38,Borrower 38,9999900038,3
B39,Borrower 39,9999900039,3
B40,Borrower 40,9999900040,1
B41,Borrower 41,9999900041,1
B42,Borrower 42,9999900042,3
B43,Borrower 43,9999900043,1
B44,Borrower 44,9999900044,1
B45,Borrower 45,9999900045,2
B46,Borrower 46,9999900046,3
B47,Borrower 47,9999900047,2
B48,Borrower 48,9999900048,2
B49,Borrower 49,9999900049,1
B50,Borrower 50,9999900050,1
